time_ms,time_s,light_level,motion,led_state,mode
172123,172.123,1022,1,1,1
172375,172.375,1022,1,1,1
172626,172.626,1022,1,1,1
172878,172.878,1022,1,1,1
173130,173.13,1022,1,1,1
173382,173.382,1022,1,1,1
173634,173.634,1022,1,1,1
173886,173.886,1022,1,1,1
174138,174.138,1022,1,1,1
174390,174.39,1022,1,1,1
174642,174.642,1022,1,1,1
174894,174.894,1022,1,1,1
175145,175.145,1022,1,1,1
175397,175.397,1022,1,1,1
175649,175.649,1022,1,1,1
175901,175.901,1021,1,1,1
176153,176.153,1022,1,1,1
176405,176.405,1022,1,1,1
176657,176.657,1022,1,1,1
176909,176.909,1021,1,1,1
177361,177.361,1022,1,0,2
177613,177.613,1021,1,0,2
177865,177.865,1022,1,0,2
178117,178.117,1022,1,0,2
178369,178.369,1021,1,0,2
178621,178.621,1022,1,0,2
178873,178.873,1021,1,0,2
179125,179.125,1022,1,0,2
179377,179.377,1022,1,0,2
179629,179.629,1022,1,0,2
179880,179.88,1022,1,0,2
180132,180.132,1022,1,0,2
180384,180.384,1021,1,0,2
180636,180.636,1021,1,0,2
180888,180.888,1022,1,0,2
181140,181.14,1021,1,0,2
181392,181.392,1021,1,0,2
181644,181.644,1022,1,0,2
181896,181.896,1021,1,0,2
182148,182.148,1022,1,0,2
182400,182.4,1021,1,0,2
182651,182.651,1022,1,0,2
182903,182.903,1021,1,0,2
183155,183.155,1021,1,0,2
183407,183.407,1021,1,0,2
183659,183.659,1022,1,0,2
183911,183.911,1022,1,0,2
184163,184.163,1022,1,0,2
184415,184.415,1022,1,0,2
184667,184.667,1021,0,0,2
184919,184.919,1022,0,0,2
185170,185.17,1022,0,0,2
185422,185.422,1022,0,0,2
185674,185.674,1022,0,0,2
185926,185.926,1022,0,0,2
186178,186.178,1022,0,0,2
186430,186.43,1022,0,0,2
186682,186.682,1022,0,0,2
186934,186.934,1021,0,0,2
187186,187.186,1022,0,0,2
187438,187.438,1021,0,0,2
187689,187.689,1022,0,0,2
187941,187.941,1022,0,0,2
188193,188.193,1022,0,0,2
188445,188.445,1021,0,0,2
188697,188.697,1022,0,0,2
188949,188.949,1022,0,0,2
189201,189.201,1021,0,0,2
189453,189.453,1022,0,0,2
189705,189.705,1022,0,0,2
189957,189.957,1022,0,0,2
190209,190.209,1021,0,0,2
190460,190.46,1022,0,0,2
190712,190.712,1021,0,0,2
190964,190.964,1022,0,0,2
191216,191.216,1022,0,0,2
191468,191.468,1021,0,0,2
191720,191.72,1021,0,0,2
191972,191.972,1021,0,0,2
192224,192.224,1021,0,0,2
192476,192.476,1022,0,0,2
192728,192.728,1022,0,0,2
192979,192.979,1022,0,0,2
193231,193.231,1021,0,0,2
193483,193.483,1022,0,0,2
193735,193.735,1022,0,0,2
193987,193.987,1022,0,0,2
194239,194.239,1022,0,0,2
194491,194.491,1022,0,0,2
194743,194.743,1021,0,0,2
194995,194.995,1022,0,0,2
195247,195.247,1022,0,0,2
195499,195.499,1022,0,0,2
195750,195.75,1022,0,0,2
196002,196.002,1022,0,0,2
196254,196.254,1022,0,0,2
196506,196.506,1022,0,0,2
196758,196.758,1022,0,0,2
197010,197.01,1021,0,0,2
197262,197.262,1021,0,0,2
197514,197.514,1021,0,0,2
197766,197.766,1021,0,0,2
198018,198.018,1022,0,0,2
198269,198.269,1021,0,0,2
198521,198.521,1022,0,0,2
198773,198.773,1022,0,0,2
199025,199.025,1022,0,0,2
199277,199.277,1022,0,0,2
199529,199.529,1022,0,0,2
199781,199.781,1022,0,0,2
200033,200.033,1022,0,0,2
200285,200.285,1021,0,0,2
200537,200.537,1022,0,0,2
200788,200.788,1022,0,0,2
201040,201.04,1022,0,0,2
201292,201.292,1022,0,0,2
201544,201.544,1021,0,0,2
201796,201.796,1021,0,0,2
202048,202.048,1022,0,0,2
202300,202.3,1022,0,0,2
202552,202.552,1022,0,0,2
202804,202.804,1022,0,0,2
203056,203.056,1022,0,0,2
203308,203.308,1022,0,0,2
203559,203.559,1022,0,0,2
203811,203.811,1022,0,0,2
204063,204.063,1021,0,0,2
204315,204.315,1022,0,0,2
204567,204.567,1022,0,0,2
204819,204.819,1022,0,0,2
205071,205.071,1021,0,0,2
205323,205.323,1022,0,0,2
205575,205.575,1022,0,0,2
205827,205.827,1022,0,0,2
206078,206.078,1022,0,0,2
206330,206.33,1022,0,0,2
206582,206.582,1022,0,0,2
206834,206.834,1022,0,0,2
207086,207.086,1021,0,0,2
207338,207.338,1022,0,0,2
207590,207.59,1021,0,0,2
207842,207.842,1022,0,0,2
208094,208.094,1022,0,0,2
208346,208.346,1021,0,0,2
208598,208.598,1022,0,0,2
208849,208.849,1022,0,0,2
209101,209.101,1022,0,0,2
